name,city,state,owner_name,owner_credential,services,google_review_count,google_star_rating,phone,website,instagram_handle,email,gbp_url,address,top_competitor_1_name,top_competitor_1_reviews,top_competitor_2_name,top_competitor_2_reviews,top_competitor_3_name,top_competitor_3_reviews
FaceBeauty Med Spa,Doral,FL,Delia Rincon,Founder/Aesthetician,"Botox, fillers, lasers, facials, microneedling",310,5.0,(786) 780-1180,fbmedspa.com,@facebeautymedspa,info@fbmedspa.com,https://maps.google.com/?q=facebeauty+med+spa+doral,"10305 NW 41st St Ste 203, Doral, FL 33178",Miami Elegance Medspa,,Marino Wellness,,Heavenly Med Spa,20
Miami Elegance Medspa,Doral,FL,Annette Bode,ARNP (RN MSN BSN),"Botox, Dysport, fillers, PRP/PRF, Kybella, Morpheus8",,4.9,(305) 200-3257,miamielegance.com,@miamielegance,info@miamielegance.com,https://maps.google.com/?q=miami+elegance+medspa+doral,"3399 NW 72nd Ave Suite 207, Doral, FL 33122",FaceBeauty Med Spa,310,Marino Wellness,,GLANZ Aesthetics,
Marino Wellness & Medspa,Doral,FL,Lisbeth Marino,FNP-BC,"Botox, GLP-1 weight loss, IV, microneedling, fillers",,4.9,(786) 566-1688,marinowellnessmedspa.com,@marinowellnessmedspa,info@marinowellnessmedspa.com,https://maps.google.com/?q=marino+wellness+medspa+doral,"3399 NW 72nd Ave #107, Doral, FL 33122",FaceBeauty Med Spa,310,Miami Elegance Medspa,,GLANZ Aesthetics,
GLANZ Aesthetics,Doral,FL,Dr. Linette Rivera,MD (Endocrinologist),"Botox, Kybella, weight loss, hormone therapy",,4.7,(305) 985-9020,glanzaesthetics.com,@glanzaesthetics,info@glanzaesthetics.com,https://maps.google.com/?q=glanz+aesthetics+doral,"2000 NW 87th Ave Suite 201, Doral, FL 33172",FaceBeauty Med Spa,310,Miami Elegance Medspa,,Marino Wellness,
The Beauty Clinic,Aventura,FL,Dr. Lital Kathein,DO,"Botox, fillers, Sculptra, body contouring",,4.9,(305) 882-9439,thebeautyclinic.com,@thebeautyclinic.fl,info@thebeautyclinic.com,https://maps.google.com/?q=the+beauty+clinic+aventura,"18157 Biscayne Blvd, Aventura, FL 33160",Aguilar Aesthetics,,4Ever Young Aventura,591,Loveland Medical Spa,109
Aguilar Aesthetics Medspa & Wellness,Aventura,FL,Gustavo Aguilar & Karen Higuera Chaux,PA-C / PA-C,"Botox, fillers, lasers, IV therapy, wellness",,4.9,(305) 949-8101,aguilaraesthetics.com,@aguilaraestheticsinc,info@aguilaraesthetics.com,https://maps.google.com/?q=aguilar+aesthetics+aventura,"2820 NE 214th St Office 905, Aventura, FL 33180",The Beauty Clinic,,Loveland Medical Spa,109,MB Advanced Beauty,59
Loveland Medical Spa,Sunny Isles Beach,FL,Abdelatif Ahmad,Spa management,"Botox, fillers, facials, lasers, body treatments",109,4.9,(305) 333-3535,lovelandmedspa.com,@lovelandmedspa,info@lovelandmedspa.com,https://maps.google.com/?q=loveland+medical+spa+sunny+isles,"18206 Collins Ave, Sunny Isles Beach, FL 33160",The Beauty Clinic,,Aguilar Aesthetics,,MB Advanced Beauty,59
DRIP Health & MedSpa,Miami Lakes,FL,Jessica Lynn-Zaldivar,NP (Master Injector),"Botox, fillers, weight loss, IV, primary care",480,5.0,(305) 805-3747,driphealthandmedspa.com,@driphealthandmedspa,info@driphealthandmedspa.com,https://maps.google.com/?q=drip+health+medspa+miami+lakes,"14575 NW 77th Ave Suite 304, Miami Lakes, FL 33016",Heavenly Med Spa,20,FaceBeauty Med Spa,310,Miami Elegance Medspa,
Comprehensive Medical Aesthetics,North Miami,FL,Dr. Rudolph Moise,MD (Integrative),"Botox, fillers, lasers, IV, wellness",61,4.8,(786) 746-6464,cmamiami.com,@cmamiami,info@cmamiami.com,https://maps.google.com/?q=comprehensive+medical+aesthetics+north+miami,"650 NW 120th St, North Miami, FL 33168",DRIP Health & MedSpa,480,The Beauty Clinic,,Loveland Medical Spa,109
Deluxe Medspa Beauty,Miami,FL,Dianelys,Aesthetician/Manager,"Botox, lip fillers, facials, lasers",,4.9,(305) 423-6688,deluxemedspabeauty.com,@deluxemedspabeauty,info@deluxemedspabeauty.com,https://maps.google.com/?q=deluxe+medspa+beauty+miami,"30 SW 1st St, Miami, FL 33130",No Filter Medical Spa,199,Monaco MedSpa,137,Miami Skin Spa,113
Aspire MedSpa & Beauty Bar,Tampa,FL,Rosaly Torres / Michael Stephens,Master Injector,"Botox, fillers, lashes, microblading, facials, IPL",628,4.9,(813) 644-7873,aspiremedspas.com,@aspiremedspas,info@aspiremedspas.com,https://maps.google.com/?q=aspire+medspa+tampa,"12932 N Dale Mabry Hwy, Tampa, FL 33618",Sei Tu Bella Aesthetics,566,The Aesthetics Lab,372,LIVIA Medical Spa,70
Sei Tu Bella Aesthetics,Tampa,FL,Heather Merlo,APRN FNP-C,"Botox, fillers, skin tightening, lasers",566,4.9,(813) 433-9885,seitubellaaesthetics.com,@seitubellaaesthetics,info@seitubellaaesthetics.com,https://maps.google.com/?q=sei+tu+bella+aesthetics+tampa,"15429 N Florida Ave Unit 201, Tampa, FL 33613",Aspire MedSpa,628,The Aesthetics Lab,372,LIVIA Medical Spa,70
The Aesthetics Lab,Tampa,FL,Dr. Linette Rivera & Dr. Pina Panchal,MD/MD,"Botox, fillers, facials, lasers, wellness",372,4.9,(813) 252-3700,theaestheticslabtampa.com,@theaestheticslab,info@theaestheticslabtampa.com,https://maps.google.com/?q=the+aesthetics+lab+tampa,"4014 W Estrella St Ste A, Tampa, FL 33629",Bespoke Rx,112,SOHO Wellness,321,LECADA,705
SOHO Wellness & Med Spa,Tampa,FL,Debbie & Becky,Owners,"Botox, fillers, facials, massage, lasers",321,4.8,(813) 512-6920,soho-wellness.com,@sohowellnessmedspa,info@soho-wellness.com,https://maps.google.com/?q=soho+wellness+med+spa+tampa,"103 S Blvd, Tampa, FL 33606",The Aesthetics Lab,372,Bespoke Rx,112,LECADA,705
LECADA Medical Artistry,Tampa,FL,Undisclosed,Owner-led,"Botox, Juvederm, facials, vitamin boosts",705,4.7,(813) 874-2000,lecadatampa.com,@lecadatampa,info@lecadatampa.com,https://maps.google.com/?q=lecada+tampa,"342 S Hyde Park Ave, Tampa, FL 33606",The Aesthetics Lab,372,SOHO Wellness,321,Bespoke Rx,112
Bespoke Rx Aesthetic Medicine,Tampa,FL,Amanda,FNP-BC,"Botox, fillers, wellness, IV, peptides",112,4.9,(813) 252-1818,bespokerx.us,@bespokerx,info@bespokerx.us,https://maps.google.com/?q=bespoke+rx+tampa,"442 W Kennedy Blvd #320, Tampa, FL 33606",The Aesthetics Lab,372,SOHO Wellness,321,LIVIA Medical Spa,70
LIVIA Medical Spa & Aesthetics,Tampa,FL,Angie Spicola,FNP-BC,"Botox, fillers, women's health, wellness",70,5.0,(813) 957-6311,liviamedspa.com,@liviamedspa,info@liviamedspa.com,https://maps.google.com/?q=livia+medspa+tampa,"15241 N Dale Mabry Hwy, Tampa, FL 33618",Aspire MedSpa,628,Sei Tu Bella Aesthetics,566,Bespoke Rx,112
Health + Glow Med Spa,Tampa,FL,Dr. Swapna M. Kallikadan,MD (Primary Care),"Botox, fillers, Kybella, weight loss, primary care",295,4.9,(813) 444-0001,myhealthandglow.com,@myhealthandglow,info@myhealthandglow.com,https://maps.google.com/?q=health+glow+tampa,"4331 S Manhattan Ave, Tampa, FL 33611",SOHO Wellness,321,Bespoke Rx,112,The Aesthetics Lab,372
Cell Renew Medical Spa,Tampa,FL,Wendy Aguilar / Dr. Mario Hernandez,Aesthetician/MD,"Botox, fillers, non-surgical rhinoplasty, lasers",95,5.0,(813) 906-1115,cellrenewtampa.com,@cellrenewtampa,info@cellrenewtampa.com,https://maps.google.com/?q=cell+renew+medical+spa+tampa,"1212 E Whiting St #102, Tampa, FL 33602",SOHO Wellness,321,LECADA,705,The Aesthetics Lab,372
iConcierge Med Spa,St. Petersburg,FL,Nina Schwyn Traster,PA-C,"Botox, fillers, PDO threads, custom injectable artistry",379,5.0,(727) 295-6779,iconciergemedspa.com,@iconcierge_medspa,info@iconciergemedspa.com,https://maps.google.com/?q=iconcierge+medspa+st+petersburg,"455 99th Ave N, St. Petersburg, FL 33702",Indulgence Medical Day Spa,261,Modern Medical Aesthetics,204,St. Pete Wellness Med Spa,500
Indulgence Medical Day Spa,St. Petersburg,FL,Cosette Saba,Owner,"Botox, fillers, dermaplaning, IV, weight loss",261,4.9,(727) 577-9250,indulgencemedicaldayspa.com,@indulgencemedspa,info@indulgencemedicaldayspa.com,https://maps.google.com/?q=indulgence+medical+day+spa+st+petersburg,"9210 4th St N, St. Petersburg, FL 33702",iConcierge Med Spa,379,Modern Medical Aesthetics,204,St. Pete Wellness Med Spa,500
Modern Medical Aesthetics,St. Petersburg,FL,Tawney,Owner-led,"Botox, Dysport, Hydrafacial, laser hair removal",204,4.9,(727) 362-4101,modernmedicalfl.com,@modmedicalaesthetics,info@modernmedicalfl.com,https://maps.google.com/?q=modern+medical+aesthetics+st+petersburg,"104 Main St N, St. Petersburg, FL 33716",iConcierge Med Spa,379,Indulgence Medical Day Spa,261,St. Pete Wellness Med Spa,500
St. Pete Wellness & MedSpa,St. Petersburg,FL,Dr. Eugene R. DeLucia III,DO,"Botox, fillers, laser, IV, wellness",500,4.9,(727) 822-2424,stpetewellnessmedspa.com,@stpetewellnessmedspa,info@stpetewellnessmedspa.com,https://maps.google.com/?q=st+pete+wellness+medspa,"111 2nd Ave NE, St. Petersburg, FL 33701",iConcierge Med Spa,379,Indulgence Medical Day Spa,261,Modern Medical Aesthetics,204
Glow St. Pete Med Spa,St. Petersburg,FL,Galena N.,Owner-operated,"Botox, fillers, lip filler, laser, facials",323,5.0,(727) 212-9866,glowstpete.com,@glowstpete,info@glowstpete.com,https://maps.google.com/?q=glow+st+pete+medspa,"2901 4th St N, St. Petersburg, FL 33704",iConcierge Med Spa,379,Indulgence Medical Day Spa,261,Modern Medical Aesthetics,204
Skinology Medical Aesthetics,Clearwater,FL,Kathy Anderson,NP/Medical Director,"Botox, fillers, lasers, facials, microneedling",90,4.9,(727) 314-7777,skinologycenter.com,@skinologymedicalaesthetics,info@skinologycenter.com,https://maps.google.com/?q=skinology+medical+aesthetics+clearwater,"2970 Gulf To Bay Blvd Ste C, Clearwater, FL 33759",Eternal Beauty Lifestyle,,Onyxx Wellness,,Goldfingers Aesthetics,
Eternal Beauty Lifestyle,Clearwater,FL,Marieta Fryer,NP-BC,"Botox, Daxxify, Letybo, lip fillers, GLP-1, peptides",,5.0,(727) 365-6633,eternalbeautylifestyleclearwaterspa.com,@eternalbeauty_lifestyle,info@eternalbeautylifestyle.com,https://maps.google.com/?q=eternal+beauty+lifestyle+clearwater,"700 Court St (rear suite), Clearwater, FL 33756",Skinology Medical Aesthetics,90,Onyxx Wellness,,Revive Medical Spa,
Balance Aesthetic & Wellness,Brandon,FL,Hetal Patel,APRN AGP-C,"Botox, lip fillers, GLP-1 weight loss, HRT",251,4.9,(813) 358-1819,balanceawfl.com,@balance_aesthetic_wellness,info@balanceawfl.com,https://maps.google.com/?q=balance+aesthetic+wellness+brandon,"1138 Nikki View Dr, Brandon, FL 33511",Beauty from Ashes Aesthetics,263,BeyondBela Aesthetics,52,Florida Aesthetics,
Beauty from Ashes Aesthetics,Brandon,FL,Jorden McPhee,APRN,"Botox, Jeuveau, Revanesse, Juvederm, lasers",263,5.0,(813) 333-9888,beautyfromashesaesthetics.com,@beautyfromashesaesthetics,info@beautyfromashesaesthetics.com,https://maps.google.com/?q=beauty+from+ashes+aesthetics+brandon,"677 W Lumsden Rd, Brandon, FL 33511",Balance Aesthetic & Wellness,251,BeyondBela Aesthetics,52,Florida Aesthetics,
